Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
2350,Mulholland's The Nurse The Math The Meds 4th Edition by Susan Turner Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Australia,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Product page unavailable,Ensure your product page can be accessed from desktop and mobile devices and is not restricted from Google crawling,Shopping ads,Canada,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Product page unavailable,Ensure your product page can be accessed from desktop and mobile devices and is not restricted from Google crawling,Shopping ads,United States,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Product page unavailable,Ensure your product page can be accessed from desktop and mobile devices and is not restricted from Google crawling,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Product page unavailable,Ensure your product page can be accessed from desktop and mobile devices and is not restricted from Google crawling,Shopping ads,Australia,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Product page unavailable,Ensure your product page can be accessed from desktop and mobile devices and is not restricted from Google crawling,Free listings,United Kingdom,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Product page unavailable,Ensure your product page can be accessed from desktop and mobile devices and is not restricted from Google crawling,Free listings,United States,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Product page unavailable,Ensure your product page can be accessed from desktop and mobile devices and is not restricted from Google crawling,Free listings,Canada,SEVERITY_DISAPPROVED
1863,Neuroscience 6th Edition by Laurie Lundy-Ekman Test Bank,Available soon,USA,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Product page unavailable,Ensure your product page can be accessed from desktop and mobile devices and is not restricted from Google crawling,Free listings,Australia,SEVERITY_DISAPPROVED
1063,Understanding Medical-surgical Nursing 5th Edition Linda S. Williams Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
1063,Understanding Medical-surgical Nursing 5th Edition Linda S. Williams Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
1063,Understanding Medical-surgical Nursing 5th Edition Linda S. Williams Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
1063,Understanding Medical-surgical Nursing 5th Edition Linda S. Williams Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Australia,SEVERITY_DISAPPROVED
992,Neeb's Fundamentals Of Mental Health Nursing 4th Edition Linda M. Gorman Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
992,Neeb's Fundamentals Of Mental Health Nursing 4th Edition Linda M. Gorman Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
992,Neeb's Fundamentals Of Mental Health Nursing 4th Edition Linda M. Gorman Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
992,Neeb's Fundamentals Of Mental Health Nursing 4th Edition Linda M. Gorman Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Australia,SEVERITY_DISAPPROVED
1396,Pharmacology In Rehabilitation 5th Edition Charles D. Ciccone Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
1396,Pharmacology In Rehabilitation 5th Edition Charles D. Ciccone Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
1396,Pharmacology In Rehabilitation 5th Edition Charles D. Ciccone Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
1396,Pharmacology In Rehabilitation 5th Edition Charles D. Ciccone Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Australia,SEVERITY_DISAPPROVED
2373,Nursing Delegation and Management of Patient Care 3rd Edition Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Australia,SEVERITY_DISAPPROVED
2373,Nursing Delegation and Management of Patient Care 3rd Edition Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
2373,Nursing Delegation and Management of Patient Care 3rd Edition Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
2373,Nursing Delegation and Management of Patient Care 3rd Edition Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
1108,Calculating Drug Dosages 2nd Edition Sandra Luz Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
1108,Calculating Drug Dosages 2nd Edition Sandra Luz Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
1108,Calculating Drug Dosages 2nd Edition Sandra Luz Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
